"","Indicator","VAR","obs","years","database"
"203","GVA in distributive trade, repairs, transport, accommod., food serv. activities (ISIC rev4)","GVA_IND_10_VG_I",308,"2012, 2013, 2011","Economic"
"204","GVA in financial and insurance activities (ISIC rev4)","GVA_IND_10_VK",315,"2012, 2013, 2011","Economic"
"205","GVA in industry, including energy (ISIC rev4)","GVA_IND_10_VB_E",340,"2012, 2013, 2011","Economic"
"206","GVA in information and communication (ISIC rev4)","GVA_IND_10_VJ",295,"2012, 2013, 2011","Economic"
"207","GVA in other services (ISIC rev4)","GVA_IND_10_VR_U",295,"2012, 2013, 2011","Economic"
"208","GVA in prof., scientific, techn. activities, admin., support service activities (ISIC rev4)","GVA_IND_10_VM_N",285,"2012, 2013, 2011","Economic"
"209","GVA in public admin., compulsory s.s., education, human health (ISIC rev4)","GVA_IND_10_VO_Q",308,"2012, 2013, 2011","Economic"
"210","GVA in real estate activities (ISIC rev4)","GVA_IND_10_VL",295,"2012, 2013, 2011","Economic"
"211","Labour utilisation (% Total Employment over Population)","LAB_UTIL",385,"2013, 2014, 2012, 2011","Economic"
"212","Primary Income of Private Households","INCOME_PRIM",318,"2013, 2011, 2010, 2012, 2014","Economic"
"213","Regional Employment at place of work, total activities","EMP_IND_TOTAL",385,"2013, 2014, 2012, 2011","Economic"
"214","Regional GDP","GDP",354,"2013, 2012, 2014","Economic"
"215","Regional Gross Value Added, total activities","GVA_IND_TOTAL",373,"2013, 2012, 2011","Economic"
"216","Employment in high-technology manufacturing","HT_MG_EMP_T",202,"2014, 2013, 2012, 2009, 2011, 2008, 2010","Innovation"
"217","Employment in knowledge-intensive services","KIS_EMP_T",266,"2014, 2012","Innovation"
"218","Labour Force Total","EDU_LF_T",386,"2014, 2013, 2012, 2010","Innovation"
"219","Labour Force with Elementary Education (ISCED 0-2)","EDU_LF_ISCED02",386,"2014, 2013, 2012, 2010","Innovation"
"220","Labour Force with Secondary education (ISCED 3-4)","EDU_LF_ISCED34",386,"2014, 2013, 2012, 2010","Innovation"
"221","Labour Force with Tertiary education (ISCED 5-8)","EDU_LF_ISCED58",386,"2014, 2013, 2012, 2010","Innovation"
"222","Labour Force with Unknown Educational Level","EDU_LF_NRESP",60,"2013, 2011, 2007, 2012","Innovation"
"223","PCT Patent Applications, count (fractional count; by inventor and priority year)","PCT",385,"2011, 2010, 2009, 2008, 2007, 2006","Innovation"
"224","PCT co-patent applications, count (fractional count; by inventor and priority year)","PCT_COPAT",383,"2011, 2010, 2008, 2007, 2009, 2006","Innovation"
"225","PCT patent applications per million inhabitants (fractional count; by inventor and priority year) - level","PCT_MILLION",341,"2011, 2010, 2009, 2008, 2007","Innovation"
